"stateFlagCode","state","AirQuality_AirQualityIndexViaUSA_num_YearFree","AirQualityRankViaUSNews_2024","DaysWithUnhealthyAirQuality_2024","AirQualityIndustrialToxinConcentration_2024"
,"Utah",51.2,46,154,2222
,"Georgia",48.2,26,74,818
,"Ohio",48.2,36,88,2234
,"West Virginia",47.6,6,31,921
,"Indiana",47.5,37,88,3384
,"Tennessee",47.5,28,76,1835
,"Colorado",47.1,43,125,197
,"Maryland",47,15,54,583
,"District of Columbia",46.8,,,
,"Alabama",46.6,27,75,1763
,"North Carolina",46.5,21,61,1158
,"Delaware",46.4,30,78,3460
,"Kentucky",46.1,29,77,1442
,"California",46,48,218,276
,"Pennsylvania",45.6,40,94,1277
,"Arizona",45.4,50,253,552
,"Connecticut",45,34,81,327
,"Virginia",45,5,29,769
,"Wyoming",45,22,62,197
,"South Carolina",44.8,16,56,1352
,"Idaho",44.3,38,93,519
,"New Jersey",44.1,20,60,1499
,"Missouri",44,31,78,875
,"Mississippi",43.7,25,74,1190
,"Rhode Island",43.7,11,46,375
,"Illinois",43.6,44,127,1088
,"Oklahoma",43.5,42,120,510
,"Arkansas",43.1,35,82,684
,"Kansas",42.8,39,94,332
,"Michigan",42.5,41,106,947
,"Nevada",42.1,49,219,3359
,"New Mexico",42.1,47,158,181
,"Massachusetts",41.4,8,42,483
,"Texas",41,45,142,980
,"Louisiana",40.4,23,65,3134
,"New York",40.4,14,53,351
,"Montana",39.6,19,60,361
,"South Dakota",39.6,17,57,114
,"Wisconsin",39.5,24,67,471
,"Florida",38.9,13,50,892
,"New Hampshire",38.9,4,25,45
,"Vermont",38.5,3,23,42
,"Minnesota",38.3,9,45,285
,"Iowa",37.6,18,58,595
,"Nebraska",37,7,36,221
,"North Dakota",37,10,45,919
,"Maine",36.5,2,20,237
,"Oregon",36.1,32,80,208
,"Washington",33.5,33,80,238
,"Alaska",29.1,12,49,1361
,"Hawaii",21.2,1,2,402